Date,ARIMA_Forecast
2024-03-09,481.2677031967937
2024-03-10,488.05571439152635
2024-03-11,493.9053383043114
2024-03-12,499.7061925877252
2024-03-13,505.83277030411944
2024-03-14,511.59600352113165
2024-03-15,517.2323379012664
2024-03-16,522.9274481356944
2024-03-17,528.4610526979108
2024-03-18,533.8896770269328
2024-03-19,539.2788835031575
2024-03-20,544.5634071744172
2024-03-21,549.7599118348521
2024-03-22,554.8895741112922
2024-03-23,559.9328564297516
2024-03-24,564.8961231867711
2024-03-25,569.7868479104116
2024-03-26,574.5994066055002
2024-03-27,579.3367220216373
2024-03-28,584.0020229919362
2024-03-29,588.5941809787797
2024-03-30,593.1148842767915
2024-03-31,597.5659394659265
2024-04-01,601.9476859217262
2024-04-02,606.2613716054519
2024-04-03,610.5082880266306
2024-04-04,614.6892288196071
2024-04-05,618.8052710468418
2024-04-06,622.8575003940955
2024-04-07,626.8468280102568
