Date,Prophet_Forecast,Prophet_Lower,Prophet_Upper
2024-04-08,682.8235582860746,680.4048608000968,685.2796612528955
2024-04-09,688.8074051470702,686.3861513720207,690.8946274021773
2024-04-10,695.2698241373386,692.8608844907207,697.6604823833588
2024-04-11,702.5494120070848,700.0457515580405,705.0967301798246
2024-04-12,709.2647315584721,706.571751080752,711.9850848413882
2024-04-13,715.2277433436467,712.4381791223207,717.8920411538072
2024-04-14,722.2753461903817,719.5005368765193,725.1999405193202
2024-04-15,729.5055206480312,726.4022472554957,732.6535803045549
2024-04-16,735.4893675090266,732.1880170998685,738.7532119925783
2024-04-17,741.9517864992958,738.2550591056877,745.8744529306355
2024-04-18,749.2313743690421,745.0846225855537,752.96959996283
2024-04-19,755.946693920431,751.645122744252,760.2877544176943
2024-04-20,761.9097057056035,757.5216601420833,766.7382134360413
2024-04-21,768.9573085523388,763.6991165436204,774.140059994321
2024-04-22,776.1874830099879,770.6232039894535,781.6658305835509
2024-04-23,782.171329870983,776.1436396550795,788.6723650640184
2024-04-24,788.6337488612531,782.2901830387249,795.3426313451184
2024-04-25,795.9133367309969,788.9189274009651,803.314841125855
2024-04-26,802.6286562823877,795.0473353100995,810.5321952860457
2024-04-27,808.5916680675604,800.6980446828161,817.0553523582402
2024-04-28,815.6392709142966,807.2760708166741,824.6781558499486
2024-04-29,822.8694453719454,814.017827769386,832.4020816855973
2024-04-30,828.8532922329427,819.776947176316,839.2675267624325
2024-05-01,835.3157112232103,825.6672000592212,846.6983270263332
2024-05-02,842.5952990929544,832.0814920820916,853.8899418879439
2024-05-03,849.3106186443439,838.0362573115608,861.9872651621249
2024-05-04,855.2736304295169,843.4632986894613,868.4020637353439
2024-05-05,862.321233276254,849.6576422915107,875.9912086886505
2024-05-06,869.5514077339021,856.1602856085356,883.8778482562917
2024-05-07,875.5352545948991,861.4133744087723,890.6988960535556
2024-05-08,881.9976735851675,867.3068313071733,897.5732263446665
2024-05-09,889.2772614549117,874.2760545892758,906.3247683226027
2024-05-10,895.9925810063005,879.3101531433928,912.813688554615
2024-05-11,901.9555927914748,884.8745658663235,919.466482743724
2024-05-12,909.0031956382117,891.1680010423707,927.2732390545506
2024-05-13,916.2333700958593,897.6342271319398,935.5918563162777
2024-05-14,922.2172169568553,903.033927913993,942.9290962047104
2024-05-15,928.6796359471248,908.2218536861229,949.3712765515324
2024-05-16,935.9592238168668,914.3375376280146,958.0002300743606
2024-05-17,942.6745433682572,920.0398376984067,965.406115016139
2024-05-18,948.6375551534314,924.6257334013408,972.9487647958475
2024-05-19,955.685158000169,931.2453709558089,979.7502992229919
2024-05-20,962.915332457816,937.8096281591794,987.4925327218043
2024-05-21,968.8991793188118,943.3679354617469,994.97486213347
2024-05-22,975.3615983090805,947.8449666668137,1002.0252136132582
2024-05-23,982.6411861788241,954.1559762919987,1010.2891224529313
2024-05-24,989.3565057302134,959.8238978131872,1018.2335977516426
2024-05-25,995.3195175153885,964.6126242775365,1024.8753466588844
2024-05-26,1002.3671203621232,970.581366759736,1032.8274424207139
