,I2,Q,df,p_value
Meta-analysis,40.8,1.69,1,.036
Validation study,0.0,0.16,1,.64
Cohort study,0.0,,0,N/A (k=1)
Systematic review,0.0,,0,N/A (k=1)
Cross-sectional,0.0,,0,N/A (k=1)
Technical review,0.0,,0,N/A (k=1)
OVERALL,79.1,33.56,7,.036
