,studies,pooled_mae,se,ci_lower,ci_upper,total_participants
Meta-analysis,2,3.08,0.394,2.31,3.86,5145
Validation study,2,3.05,0.137,2.78,3.32,3439
Cohort study,1,3.7,0.0,3.7,3.7,756
Systematic review,1,2.4,0.0,2.4,2.4,1654
Cross-sectional,1,2.9,0.0,2.9,2.9,1423
Technical review,1,1.3,0.0,1.3,1.3,12450
OVERALL,8,2.15,0.323,1.52,2.78,24867
