date,percent_resistant,forecast_horizon,is_historical,prophet_predicted,prophet_lower,prophet_upper,arima_predicted,lstm_predicted,random_forest_predicted,gradient_boosting_predicted,svr_predicted,exponential_smoothing_predicted
2017-01-01,20.4239582141904,0,True,,,,,,,,,
2018-01-01,5.922082671451265,0,True,,,,,,,,,
2019-01-01,4.84958364461289,0,True,,,,,,,,,
2020-01-01,17.181395032786327,0,True,,,,,,,,,
2021-01-01,16.992984349703182,0,True,,,,,,,,,
2022-01-01,19.021355151901908,0,True,,,,,,,,,
2023-01-01,14.5143791831489,0,True,,,,,,,,,
2023-02-28,,1,False,14.656839175558614,12.396627806130411,15.722397070481618,15.399439997982594,14.265703154739162,14.192415835052307,15.297037647030521,14.33302110083337,14.658711772333186
2023-03-31,,2,False,14.547385669399414,12.393151162131824,15.915240862144506,15.539979104805711,14.864204342414851,14.194851514512226,14.885267588533091,14.703945092540337,14.73023755844518
2023-04-30,,3,False,14.615289134806025,12.499177296132975,16.883054943944053,15.810516549449043,15.629520134627315,14.770355967160114,14.731650002622635,15.412581004018381,15.228871015238614
2023-05-31,,4,False,15.182390489978463,13.111147891888013,16.22499824652404,15.3281695161384,16.41608323500926,15.206036989627124,15.278475885977992,14.969042878515502,15.189992072076008
2023-06-30,,5,False,15.020869762102198,13.696019255859532,16.908250148343882,15.06357109650397,16.982777690902815,15.533997835791679,16.034789956009725,15.335931612505947,15.667935773707404
2023-07-31,,6,False,15.114315938685879,13.762280970847717,17.94664422033239,15.811621674248888,17.113787145557637,15.215335048818952,16.7766814532889,15.76779473128975,15.66025071394199
2023-08-31,,7,False,15.223858367184848,12.91411971932612,18.20417553610088,16.26008308447092,16.65902326781547,14.9788722725462,17.331550490104274,16.198661676756018,15.84139874638721
2023-09-30,,8,False,15.59193652698031,12.746035126486664,16.65299066200305,16.828207592345453,16.32028031844836,15.17343698326101,16.91157635247371,15.89741967185135,15.689898203897124
2023-10-31,,9,False,16.313867346457883,15.215960251271449,18.870734333987254,17.11456837638139,15.983483649751502,14.681641551042748,17.493679060223315,16.123418867111308,16.048092690666614
2023-11-30,,10,False,16.036616857360233,14.415350663721282,17.418990930615262,17.971405739980202,15.726028530378775,15.443605569250845,17.052241617946414,16.922451972215526,16.215790386677348
2023-12-31,,11,False,16.154036947284308,14.77764603692425,18.84898345802023,17.77481954730199,15.231003864802608,15.423031683739897,17.889091389651597,17.422007326824527,16.34748512694384
2024-01-31,,12,False,16.03722909166139,13.218074358533917,17.211189355211125,17.42695208207538,14.822902524739616,16.1710869605503,18.859529127580288,17.14817835168817,17.048750296447707
2024-02-29,,13,False,16.12626156932845,14.526011007262372,18.378593097259426,16.94092840327674,14.59738013016386,16.528864436048035,19.282774757596943,17.534062040871948,16.555813483838886
2024-03-31,,14,False,15.680527165644659,14.306352374209741,17.85804125632438,16.56728868642523,14.828888213545314,17.430795054870373,19.152811128217817,17.550259470498165,17.49094673602909
2024-04-30,,15,False,15.391964833890304,13.095072399320458,17.007786222595467,17.274580844712442,14.854968165557896,18.222148812395734,18.858834545921408,17.927693501812364,17.751468928640367
2024-05-31,,16,False,15.238677172065465,13.808219540464044,16.287621624328512,18.020104479235243,15.011885818180303,17.749508105142986,18.673010493229427,17.75951004508468,18.250596374456194
2024-06-30,,17,False,15.110715074020895,13.656706815576795,17.033809621148055,18.48876016064314,15.958444649255618,17.668647615291295,19.581937180858016,18.118846956081846,18.81254936022244
2024-07-31,,18,False,15.088044757667591,13.028299216342381,17.447221765517344,19.463233540269467,16.088423035421144,18.63455861710998,20.342596780479493,18.247387888001732,18.495298239582894
2024-08-31,,19,False,15.25050525887941,13.944005117217001,16.883175327709207,19.67168017958825,16.403472509920892,18.206683787168878,20.960704064355223,17.841157532726836,19.311029497184354
2024-09-30,,20,False,16.056814600808345,14.58930571595813,18.59334379909718,19.823382639175332,15.956123685297825,17.925193129957908,21.095380338177186,18.1648623654421,18.98169480112826
2024-10-31,,21,False,16.85850892577101,14.473106042693516,19.26812421530963,19.841008483080905,16.811255730239232,17.782874747575974,22.06877667171007,18.69204946188636,18.82790675985059
