date,state,latitude,longitude,year,month,temp_mean,temp_std,temp_min,temp_max,temp_range,hot_days,precip_total,precip_std,precip_max,precip_dry_days,humidity_specific_mean,humidity_relative_mean,humidity_critical_days
2017-01-31,Maharashtra,19.6948,75.08,2017,1,21.25,1.82,17.89,24.7,6.809999999999999,0,0.0,0.0,0.0,31,5.05,33.05,0
2017-02-28,Maharashtra,19.6948,75.08,2017,2,25.13,1.24,22.73,27.3,4.57,13,0.0,0.0,0.0,28,4.92,26.07,0
2017-03-31,Maharashtra,19.6948,75.08,2017,3,27.85,2.78,22.23,32.58,10.349999999999998,28,0.29,0.05,0.26,31,5.02,22.8,0
2017-04-30,Maharashtra,19.6948,75.08,2017,4,31.28,1.13,29.59,33.25,3.66,30,0.0,0.0,0.0,30,5.84,23.04,0
2017-05-31,Maharashtra,19.6948,75.08,2017,5,33.19,1.06,31.07,34.92,3.8500000000000014,31,4.12,0.46,2.4,30,10.16,33.76,0
2017-06-30,Maharashtra,19.6948,75.08,2017,6,28.29,1.57,26.58,33.19,6.609999999999999,30,128.78,4.05,18.44,4,17.01,69.18,2
2017-07-31,Maharashtra,19.6948,75.08,2017,7,26.35,0.55,25.15,27.59,2.4400000000000013,31,109.28,3.53,14.71,10,16.8,75.47,3
2017-08-31,Maharashtra,19.6948,75.08,2017,8,25.63,1.06,23.22,27.13,3.91,22,206.36,13.74,60.4,15,16.48,77.41,9
2017-09-30,Maharashtra,19.6948,75.08,2017,9,25.47,0.73,24.14,27.19,3.0500000000000007,24,215.17,9.68,37.21,12,17.42,81.89,23
2017-10-31,Maharashtra,19.6948,75.08,2017,10,24.11,1.42,21.35,26.02,4.669999999999998,11,91.09,5.55,22.84,19,14.41,73.0,9
2017-11-30,Maharashtra,19.6948,75.08,2017,11,20.84,1.23,19.27,23.5,4.23,0,0.88,0.12,0.58,30,9.96,64.31,0
2017-12-31,Maharashtra,19.6948,75.08,2017,12,20.67,1.22,18.62,23.44,4.82,0,1.68,0.24,1.33,30,7.75,50.55,0
2018-01-31,Maharashtra,19.6948,75.08,2018,1,21.55,1.71,19.17,25.15,5.979999999999997,1,1.22,0.22,1.22,30,4.88,30.8,0
2018-02-28,Maharashtra,19.6948,75.08,2018,2,24.97,1.73,22.34,27.92,5.580000000000002,11,0.27,0.05,0.27,28,5.33,27.81,0
2018-03-31,Maharashtra,19.6948,75.08,2018,3,28.89,1.18,25.88,31.07,5.190000000000001,31,0.7,0.08,0.34,31,5.8,23.97,0
2018-04-30,Maharashtra,19.6948,75.08,2018,4,31.88,1.19,30.18,34.64,4.460000000000001,30,2.24,0.26,1.35,29,6.61,23.58,0
2018-05-31,Maharashtra,19.6948,75.08,2018,5,33.32,0.78,32.02,35.5,3.479999999999997,31,1.05,0.09,0.43,31,9.76,32.33,0
2018-06-30,Maharashtra,19.6948,75.08,2018,6,28.92,1.67,26.04,32.25,6.210000000000001,30,77.44,3.65,17.81,14,16.15,63.8,0
2018-07-31,Maharashtra,19.6948,75.08,2018,7,25.94,0.67,25.06,28.24,3.1799999999999997,31,84.76,3.36,12.68,12,16.59,76.07,5
2018-08-31,Maharashtra,19.6948,75.08,2018,8,25.5,0.9,23.47,26.89,3.4200000000000017,21,143.56,11.04,44.93,18,16.09,76.15,5
2018-09-30,Maharashtra,19.6948,75.08,2018,9,25.66,0.92,24.3,27.31,3.009999999999998,23,45.43,3.18,13.88,19,14.77,71.19,0
2018-10-31,Maharashtra,19.6948,75.08,2018,10,27.07,1.05,24.01,28.44,4.43,28,5.35,0.42,1.84,29,10.2,46.32,0
2018-11-30,Maharashtra,19.6948,75.08,2018,11,24.72,1.69,21.68,28.04,6.359999999999999,14,4.01,0.38,1.7,29,7.56,38.28,0
2018-12-31,Maharashtra,19.6948,75.08,2018,12,20.68,2.42,16.06,24.24,8.18,0,0.0,0.0,0.0,31,5.29,34.29,0
2019-01-31,Maharashtra,19.6948,75.08,2019,1,20.1,1.37,16.82,21.96,5.140000000000001,0,0.0,0.0,0.0,31,3.59,25.37,0
2019-02-28,Maharashtra,19.6948,75.08,2019,2,23.99,2.84,17.13,28.43,11.3,10,0.05,0.01,0.04,28,5.29,28.85,0
2019-03-31,Maharashtra,19.6948,75.08,2019,3,27.72,2.39,23.13,31.93,8.8,26,0.01,0.0,0.01,31,4.93,22.73,0
2019-04-30,Maharashtra,19.6948,75.08,2019,4,32.12,1.87,27.65,35.76,8.11,30,3.55,0.46,2.3,28,6.36,22.64,0
2019-05-31,Maharashtra,19.6948,75.08,2019,5,32.53,1.23,30.27,34.67,4.400000000000002,31,0.02,0.0,0.02,31,9.14,32.47,0
2019-06-30,Maharashtra,19.6948,75.08,2019,6,30.65,2.64,25.32,34.45,9.130000000000003,30,65.57,3.16,10.98,18,14.89,54.85,1
2019-07-31,Maharashtra,19.6948,75.08,2019,7,26.54,1.09,24.63,29.17,4.540000000000003,29,130.5,3.89,13.49,9,17.32,76.48,8
2019-08-31,Maharashtra,19.6948,75.08,2019,8,25.62,0.49,24.74,26.69,1.9500000000000028,29,114.83,4.62,17.34,13,17.1,79.61,13
2019-09-30,Maharashtra,19.6948,75.08,2019,9,25.23,0.46,24.53,26.61,2.0799999999999983,21,185.95,5.92,23.86,6,17.59,83.52,28
2019-10-31,Maharashtra,19.6948,75.08,2019,10,23.81,0.94,21.88,25.03,3.150000000000002,1,161.84,6.31,27.31,10,16.07,83.52,22
2019-11-30,Maharashtra,19.6948,75.08,2019,11,21.54,1.38,19.17,23.7,4.529999999999998,0,20.08,1.98,9.57,26,13.45,80.54,16
2019-12-31,Maharashtra,19.6948,75.08,2019,12,20.86,1.21,17.57,22.6,5.030000000000001,0,1.91,0.17,0.73,31,11.67,73.87,4
2020-01-31,Maharashtra,19.6948,75.08,2020,1,20.18,1.89,17.19,23.64,6.449999999999999,0,0.15,0.02,0.1,31,8.7,59.74,0
2020-02-29,Maharashtra,19.6948,75.08,2020,2,24.11,1.76,21.1,27.04,5.939999999999998,11,0.34,0.04,0.18,29,6.72,37.17,0
2020-03-31,Maharashtra,19.6948,75.08,2020,3,27.01,2.47,23.05,30.76,7.710000000000001,23,25.7,2.28,11.04,26,8.07,36.95,0
2020-04-30,Maharashtra,19.6948,75.08,2020,4,31.8,1.72,28.57,34.08,5.509999999999998,30,0.36,0.05,0.27,30,7.47,26.49,0
2020-05-31,Maharashtra,19.6948,75.08,2020,5,33.36,1.01,31.2,35.33,4.129999999999999,31,11.34,0.75,2.91,26,10.48,34.16,0
2020-06-30,Maharashtra,19.6948,75.08,2020,6,26.93,0.86,25.42,28.79,3.3699999999999974,30,278.11,9.41,33.96,8,17.23,74.82,10
2020-07-31,Maharashtra,19.6948,75.08,2020,7,26.01,0.52,24.33,26.91,2.580000000000002,30,205.85,9.61,49.27,8,18.07,81.67,23
2020-08-31,Maharashtra,19.6948,75.08,2020,8,25.02,0.71,24.0,26.45,2.4499999999999993,15,163.45,4.48,14.0,7,18.0,85.74,31
2020-09-30,Maharashtra,19.6948,75.08,2020,9,25.21,0.98,23.75,27.27,3.5199999999999996,17,264.49,10.76,46.09,7,18.32,86.45,27
2020-10-31,Maharashtra,19.6948,75.08,2020,10,24.25,1.22,21.52,25.78,4.260000000000002,9,178.28,8.18,25.64,15,16.64,83.17,25
2020-11-30,Maharashtra,19.6948,75.08,2020,11,21.09,2.01,16.93,24.28,7.350000000000001,0,1.37,0.14,0.62,30,12.86,78.73,12
2020-12-31,Maharashtra,19.6948,75.08,2020,12,19.42,1.64,15.99,21.87,5.880000000000001,0,1.81,0.19,0.88,31,10.06,69.26,1
2021-01-31,Maharashtra,19.6948,75.08,2021,1,22.14,1.19,20.57,24.82,4.25,0,12.05,0.94,3.42,26,10.45,61.5,2
2021-02-28,Maharashtra,19.6948,75.08,2021,2,23.48,2.23,20.02,27.77,7.75,7,4.01,0.55,2.63,26,6.08,34.4,0
2021-03-31,Maharashtra,19.6948,75.08,2021,3,29.01,1.06,26.55,31.06,4.509999999999998,31,2.38,0.25,1.04,30,5.44,22.12,0
2021-04-30,Maharashtra,19.6948,75.08,2021,4,31.33,1.17,29.05,33.16,4.109999999999996,30,7.69,0.5,1.74,27,7.52,27.4,0
2021-05-31,Maharashtra,19.6948,75.08,2021,5,30.64,1.62,27.95,33.45,5.5000000000000036,31,55.96,3.68,18.28,22,13.67,50.11,0
2021-06-30,Maharashtra,19.6948,75.08,2021,6,27.21,0.97,25.16,29.18,4.02,30,139.54,5.13,20.9,6,17.27,73.98,2
2021-07-31,Maharashtra,19.6948,75.08,2021,7,26.42,0.98,24.49,28.14,3.650000000000002,29,106.2,4.15,18.75,8,17.31,77.05,10
2021-08-31,Maharashtra,19.6948,75.08,2021,8,25.92,1.05,23.71,27.52,3.8099999999999987,25,115.76,6.71,23.08,21,16.57,76.6,8
2021-09-30,Maharashtra,19.6948,75.08,2021,9,24.92,0.59,23.74,25.93,2.1900000000000013,13,246.68,9.04,32.24,10,17.6,84.79,29
2021-10-31,Maharashtra,19.6948,75.08,2021,10,23.68,1.79,20.76,26.02,5.259999999999998,9,69.62,4.16,20.7,19,15.28,79.34,16
2021-11-30,Maharashtra,19.6948,75.08,2021,11,22.31,2.15,18.95,25.38,6.43,3,13.28,0.93,3.58,26,13.7,78.03,13
2021-12-31,Maharashtra,19.6948,75.08,2021,12,19.71,1.13,17.12,21.34,4.219999999999999,0,22.86,2.47,11.72,28,10.31,71.23,4
2022-01-31,Maharashtra,19.6948,75.08,2022,1,19.88,1.81,15.31,22.18,6.869999999999999,0,1.03,0.1,0.49,31,8.14,56.5,0
2022-02-28,Maharashtra,19.6948,75.08,2022,2,23.51,2.11,20.03,26.93,6.899999999999999,9,0.0,0.0,0.0,28,5.37,31.49,0
2022-03-31,Maharashtra,19.6948,75.08,2022,3,29.21,1.69,25.79,31.6,5.810000000000002,31,3.52,0.38,1.9,30,5.63,22.77,0
2022-04-30,Maharashtra,19.6948,75.08,2022,4,32.52,1.17,30.34,35.06,4.720000000000002,30,0.59,0.09,0.47,30,6.36,21.62,0
2022-05-31,Maharashtra,19.6948,75.08,2022,5,32.39,1.4,30.09,34.79,4.699999999999999,31,3.52,0.46,2.5,30,11.47,40.21,0
2022-06-30,Maharashtra,19.6948,75.08,2022,6,28.88,2.29,25.54,32.75,7.210000000000001,30,140.0,7.37,35.69,12,15.48,62.29,3
2022-07-31,Maharashtra,19.6948,75.08,2022,7,25.18,0.78,23.59,26.85,3.2600000000000016,20,188.64,4.97,19.27,0,17.45,82.76,25
2022-08-31,Maharashtra,19.6948,75.08,2022,8,24.97,0.56,23.36,26.2,2.84,15,164.99,7.88,29.51,12,17.35,83.29,29
2022-09-30,Maharashtra,19.6948,75.08,2022,9,24.77,0.97,22.64,27.07,4.43,12,205.81,6.53,25.37,5,17.74,86.11,30
2022-10-31,Maharashtra,19.6948,75.08,2022,10,22.74,1.77,19.51,25.21,5.699999999999999,1,139.63,5.77,20.23,15,15.08,82.47,20
2022-11-30,Maharashtra,19.6948,75.08,2022,11,19.55,1.42,15.97,22.59,6.619999999999999,0,0.0,0.0,0.0,30,10.99,75.04,5
2022-12-31,Maharashtra,19.6948,75.08,2022,12,20.96,1.66,16.05,23.36,7.309999999999999,0,16.01,2.03,9.9,29,10.83,68.3,4
2023-01-31,Maharashtra,19.6948,75.08,2023,1,20.3,1.5,17.69,22.91,5.219999999999999,0,6.79,0.89,4.79,29,8.02,54.67,0
2023-02-28,Maharashtra,19.6948,75.08,2023,2,24.08,1.66,20.65,26.76,6.110000000000003,10,0.0,0.0,0.0,28,3.72,21.45,0
2023-03-31,Maharashtra,19.6948,75.08,2023,3,26.33,1.3,23.46,28.34,4.879999999999999,25,19.43,1.25,5.55,24,7.56,37.02,0
2023-04-30,Maharashtra,19.6948,75.08,2023,4,29.96,1.9,25.95,33.55,7.599999999999998,30,37.47,3.8,20.22,24,9.05,35.12,0
2023-05-31,Maharashtra,19.6948,75.08,2023,5,31.53,2.1,26.51,33.88,7.370000000000001,31,11.28,0.95,4.04,28,11.04,40.32,0
2023-06-30,Maharashtra,19.6948,75.08,2023,6,30.0,2.43,24.12,33.47,9.349999999999998,29,49.35,3.22,14.45,22,14.32,54.67,0
2023-07-31,Maharashtra,19.6948,75.08,2023,7,25.89,0.61,24.9,27.47,2.5700000000000003,28,190.4,8.56,47.2,2,17.57,80.12,17
2023-08-31,Maharashtra,19.6948,75.08,2023,8,25.88,0.69,24.7,27.41,2.710000000000001,28,30.19,1.09,4.56,21,16.33,75.91,3
2023-09-30,Maharashtra,19.6948,75.08,2023,9,25.92,1.03,24.14,27.99,3.849999999999998,26,204.49,9.11,35.84,8,17.19,79.29,15
2023-10-31,Maharashtra,19.6948,75.08,2023,10,24.43,1.16,21.48,25.71,4.23,13,6.76,0.83,4.5,29,13.38,69.26,2
2023-11-30,Maharashtra,19.6948,75.08,2023,11,23.46,0.86,21.85,24.81,2.9599999999999973,0,54.27,4.79,21.19,24,11.5,63.74,1
2023-12-31,Maharashtra,19.6948,75.08,2023,12,20.87,1.51,17.75,23.57,5.82,0,8.04,1.43,7.98,30,9.66,62.79,0
2017-01-31,Uttar Pradesh,26.5195,80.874,2017,1,16.06,2.32,10.36,20.0,9.64,0,21.56,3.47,19.3,29,4.86,44.27,0
2017-02-28,Uttar Pradesh,26.5195,80.874,2017,2,20.02,2.28,15.85,25.01,9.160000000000002,1,0.2,0.04,0.2,28,4.46,33.03,0
2017-03-31,Uttar Pradesh,26.5195,80.874,2017,3,25.83,4.2,19.17,33.67,14.5,16,5.12,0.58,2.83,29,4.49,23.74,0
2017-04-30,Uttar Pradesh,26.5195,80.874,2017,4,33.76,2.18,28.73,36.82,8.09,30,3.24,0.35,1.65,29,4.88,15.46,0
2017-05-31,Uttar Pradesh,26.5195,80.874,2017,5,37.21,1.64,33.9,39.5,5.600000000000001,31,19.32,1.86,9.62,27,8.43,22.36,0
2017-06-30,Uttar Pradesh,26.5195,80.874,2017,6,36.37,1.85,33.45,39.89,6.439999999999998,30,95.21,8.43,43.53,19,13.34,36.7,0
2017-07-31,Uttar Pradesh,26.5195,80.874,2017,7,29.22,1.11,27.83,32.63,4.800000000000004,31,344.03,13.17,47.72,4,21.29,82.81,27
2017-08-31,Uttar Pradesh,26.5195,80.874,2017,8,28.99,0.77,27.71,30.73,3.0199999999999996,31,280.83,12.67,58.3,10,21.15,83.47,23
2017-09-30,Uttar Pradesh,26.5195,80.874,2017,9,28.5,1.0,26.56,30.25,3.6900000000000013,30,86.29,9.17,48.78,20,19.06,78.08,11
2017-10-31,Uttar Pradesh,26.5195,80.874,2017,10,26.86,2.08,22.54,29.38,6.84,25,2.51,0.38,2.13,30,12.76,58.34,0
2017-11-30,Uttar Pradesh,26.5195,80.874,2017,11,20.73,2.49,16.61,24.29,7.68,0,0.0,0.0,0.0,30,7.48,49.27,0
2017-12-31,Uttar Pradesh,26.5195,80.874,2017,12,17.54,1.55,14.7,20.09,5.390000000000001,0,0.69,0.08,0.42,31,4.81,39.64,0
2018-01-31,Uttar Pradesh,26.5195,80.874,2018,1,15.63,1.57,12.74,19.06,6.3199999999999985,0,2.28,0.3,1.52,30,3.24,31.33,0
2018-02-28,Uttar Pradesh,26.5195,80.874,2018,2,21.5,2.82,18.26,27.01,8.75,5,4.62,0.7,3.7,27,4.4,29.44,0
2018-03-31,Uttar Pradesh,26.5195,80.874,2018,3,27.67,1.68,23.86,31.44,7.580000000000002,29,0.08,0.01,0.04,31,4.07,19.02,0
2018-04-30,Uttar Pradesh,26.5195,80.874,2018,4,32.41,1.88,29.12,35.81,6.690000000000001,30,15.31,1.59,7.26,27,7.09,24.92,0
2018-05-31,Uttar Pradesh,26.5195,80.874,2018,5,36.27,1.71,32.74,38.78,6.039999999999999,31,13.24,1.1,5.22,27,8.14,23.33,0
2018-06-30,Uttar Pradesh,26.5195,80.874,2018,6,36.8,1.99,31.38,39.03,7.650000000000002,30,76.18,5.19,21.87,20,14.6,38.91,0
2018-07-31,Uttar Pradesh,26.5195,80.874,2018,7,31.62,2.52,27.8,36.14,8.34,31,414.4,19.14,85.55,8,20.0,69.62,8
2018-08-31,Uttar Pradesh,26.5195,80.874,2018,8,28.33,0.77,27.01,29.81,2.799999999999997,31,442.46,15.64,55.95,7,21.65,88.2,31
2018-09-30,Uttar Pradesh,26.5195,80.874,2018,9,26.94,0.71,25.09,28.24,3.1499999999999986,30,155.81,10.73,39.75,18,19.47,86.7,30
2018-10-31,Uttar Pradesh,26.5195,80.874,2018,10,24.58,1.5,22.23,27.33,5.099999999999998,12,0.0,0.0,0.0,31,13.72,70.95,5
2018-11-30,Uttar Pradesh,26.5195,80.874,2018,11,20.15,1.68,17.49,23.75,6.260000000000002,0,0.0,0.0,0.0,30,8.97,61.84,0
2018-12-31,Uttar Pradesh,26.5195,80.874,2018,12,15.15,2.42,10.45,18.76,8.310000000000002,0,0.0,0.0,0.0,31,5.2,49.55,0
2019-01-31,Uttar Pradesh,26.5195,80.874,2019,1,14.35,1.62,11.1,18.0,6.9,0,22.46,2.87,15.22,28,4.81,49.2,0
2019-02-28,Uttar Pradesh,26.5195,80.874,2019,2,18.16,2.5,13.45,24.07,10.620000000000001,0,27.83,2.39,9.04,23,5.86,47.22,0
2019-03-31,Uttar Pradesh,26.5195,80.874,2019,3,23.74,3.85,16.71,32.05,15.339999999999996,11,2.52,0.4,2.24,30,5.99,35.74,0
2019-04-30,Uttar Pradesh,26.5195,80.874,2019,4,32.53,2.68,27.43,37.09,9.660000000000004,30,4.07,0.4,1.69,28,6.59,23.47,0
2019-05-31,Uttar Pradesh,26.5195,80.874,2019,5,36.32,1.61,33.55,39.81,6.260000000000005,31,2.04,0.14,0.53,31,6.62,18.31,0
2019-06-30,Uttar Pradesh,26.5195,80.874,2019,6,37.58,2.21,32.57,40.62,8.049999999999997,30,43.68,2.07,7.05,17,12.48,32.47,0
2019-07-31,Uttar Pradesh,26.5195,80.874,2019,7,30.71,2.15,28.0,36.1,8.100000000000001,31,401.82,15.79,66.73,9,21.09,76.29,12
2019-08-31,Uttar Pradesh,26.5195,80.874,2019,8,28.96,0.86,27.33,31.03,3.700000000000003,31,243.17,9.51,35.57,5,21.49,84.75,29
2019-09-30,Uttar Pradesh,26.5195,80.874,2019,9,27.47,1.56,24.7,30.27,5.57,29,278.87,15.52,80.03,8,20.41,87.95,29
2019-10-31,Uttar Pradesh,26.5195,80.874,2019,10,23.75,1.57,21.19,25.73,4.539999999999999,7,22.99,2.85,12.95,29,14.78,80.58,15
2019-11-30,Uttar Pradesh,26.5195,80.874,2019,11,20.05,1.59,17.94,23.18,5.239999999999998,0,0.8,0.12,0.67,30,11.3,77.6,12
2019-12-31,Uttar Pradesh,26.5195,80.874,2019,12,13.49,3.13,6.77,17.89,11.120000000000001,0,22.68,3.79,21.12,30,7.16,73.61,6
2020-01-31,Uttar Pradesh,26.5195,80.874,2020,1,12.82,1.79,9.39,15.8,6.41,0,60.16,5.14,21.95,25,6.88,74.99,11
2020-02-29,Uttar Pradesh,26.5195,80.874,2020,2,16.15,2.62,11.63,20.46,8.83,0,8.34,0.88,3.76,26,6.53,58.38,0
2020-03-31,Uttar Pradesh,26.5195,80.874,2020,3,23.13,2.4,19.4,27.02,7.620000000000001,9,38.75,2.71,10.51,24,8.63,51.96,0
2020-04-30,Uttar Pradesh,26.5195,80.874,2020,4,29.82,2.15,25.18,33.92,8.740000000000002,30,19.24,2.92,16.05,29,8.22,33.85,0
2020-05-31,Uttar Pradesh,26.5195,80.874,2020,5,34.39,2.83,30.9,40.29,9.39,31,61.72,6.59,36.44,24,9.52,30.8,0
2020-06-30,Uttar Pradesh,26.5195,80.874,2020,6,32.9,2.26,25.91,36.33,10.419999999999998,30,124.88,6.33,22.02,16,16.79,54.85,0
2020-07-31,Uttar Pradesh,26.5195,80.874,2020,7,29.78,1.22,27.9,33.38,5.480000000000004,31,262.22,9.56,35.24,7,21.23,80.47,19
2020-08-31,Uttar Pradesh,26.5195,80.874,2020,8,28.87,0.75,27.5,30.41,2.91,31,237.74,11.16,52.1,6,21.59,85.49,31
